country,station,pop,stockID,day,month,year,lat,lon,fishno,length_cm,weight_g,age,sex,maturity,folder,picname,cal
Norway,9011,NO,39011,24,2,2010,62.53,5.25,5,32.5,238.0,8,F,5,NO,9011_5,203
Norway,9011,NO,39011,24,2,2010,62.53,5.25,7,32.5,276.0,8,F,5,NO,9011_7,203
Norway,9011,NO,39011,24,2,2010,62.53,5.25,11,33.0,293.0,8,F,5,NO,9011_11,203
Norway,9011,NO,39011,24,2,2010,62.53,5.25,13,33.5,324.0,8,F,5,NO,9011_13,203
Norway,9011,NO,39011,24,2,2010,62.53,5.25,15,31.0,251.0,6,F,5,NO,9011_15,203
Norway,9011,NO,39011,24,2,2010,62.53,5.25,18,31.5,274.0,6,F,5,NO,9011_18,203
Norway,9011,NO,39011,24,2,2010,62.53,5.25,19,32.5,267.0,8,M,5,NO,9011_19,203
Norway,9011,NO,39011,24,2,2010,62.53,5.25,21,33.0,313.0,7,M,5,NO,9011_21,203
Norway,9011,NO,39011,24,2,2010,62.53,5.25,22,34.0,296.0,10,F,5,NO,9011_22,203
Norway,9011,NO,39011,24,2,2010,62.53,5.25,23,33.5,280.0,9,M,5,NO,9011_23,203
Norway,9011,NO,39011,24,2,2010,62.53,5.25,25,34.0,341.0,10,M,5,NO,9011_25,203
Norway,9011,NO,39011,24,2,2010,62.53,5.25,27,33.5,249.0,8,M,7,NO,9011_27,203
Norway,9011,NO,39011,24,2,2010,62.53,5.25,28,30.0,219.0,4,F,5,NO,9011_28,203
Norway,9011,NO,39011,24,2,2010,62.53,5.25,31,32.5,301.0,8,F,5,NO,9011_31,203
Norway,9011,NO,39011,24,2,2010,62.53,5.25,32,31.5,249.0,6,F,5,NO,9011_32,203
Norway,9011,NO,39011,24,2,2010,62.53,5.25,34,32.5,255.0,6,F,5,NO,9011_34,203
Norway,9011,NO,39011,24,2,2010,62.53,5.25,36,32.5,270.0,6,M,5,NO,9011_36,203
Norway,9011,NO,39011,24,2,2010,62.53,5.25,37,32.0,320.0,8,F,5,NO,9011_37,203
Norway,9011,NO,39011,24,2,2010,62.53,5.25,38,33.0,330.0,7,F,5,NO,9011_38,203
Norway,9011,NO,39011,24,2,2010,62.53,5.25,39,32.5,301.0,8,F,5,NO,9011_39,203
Norway,9011,NO,39011,24,2,2010,62.53,5.25,41,29.5,203.0,4,M,5,NO,9011_41,203
Norway,9011,NO,39011,24,2,2010,62.53,5.25,42,29.0,203.0,6,M,5,NO,9011_42,203
Norway,9011,NO,39011,24,2,2010,62.53,5.25,43,33.5,333.0,8,M,5,NO,9011_43,203
Norway,9011,NO,39011,24,2,2010,62.53,5.25,45,33.5,360.0,8,F,5,NO,9011_45,203
Norway,9011,NO,39011,24,2,2010,62.53,5.25,46,33.0,285.0,8,M,5,NO,9011_46,203
Norway,9011,NO,39011,24,2,2010,62.53,5.25,49,33.0,287.0,8,F,5,NO,9011_49,203
Norway,9011,NO,39011,24,2,2010,62.53,5.25,50,33.5,295.0,8,F,5,NO,9011_50,203
Norway,6319,NO,86319,19,2,2010,61.88,4.58,10,32.5,298.0,8,M,5,NO,6319_10,203
Norway,6319,NO,86319,19,2,2010,61.88,4.58,17,32.0,273.0,7,M,5,NO,6319_17,203
Norway,6319,NO,86319,19,2,2010,61.88,4.58,35,33.5,284.0,8,M,5,NO,6319_35,203
Norway,6319,NO,86319,19,2,2010,61.88,4.58,36,33.5,320.0,7,M,5,NO,6319_36,203
Norway,6319,NO,86319,19,2,2010,61.88,4.58,37,34.0,317.0,9,M,5,NO,6319_37,203
Norway,6319,NO,86319,19,2,2010,61.88,4.58,38,32.5,296.0,8,M,5,NO,6319_38,203
Scotland,525,SC,440667,1,9,2010,58.73,-5.37,121,31.9,315.4,6,F,6,SC,525_121,203
Scotland,525,SC,440667,1,9,2010,58.73,-5.37,122,30.1,311.9,8,M,6,SC,525_122,203
Scotland,525,SC,440667,1,9,2010,58.73,-5.37,123,31.3,344.2,9,F,6,SC,525_123,203
Scotland,525,SC,440667,1,9,2010,58.73,-5.37,124,32.4,344.0,10,M,6,SC,525_124,203
Scotland,525,SC,440667,1,9,2010,58.73,-5.37,127,28.9,209.8,7,M,6,SC,525_127,203
Scotland,525,SC,440667,1,9,2010,58.73,-5.37,128,28.1,235.7,4,M,6,SC,525_128,203
Scotland,525,SC,440667,1,9,2010,58.73,-5.37,129,32.3,309.3,10,F,6,SC,525_129,203
Scotland,525,SC,440667,1,9,2010,58.73,-5.37,130,27.4,220.1,6,M,6,SC,525_130,203
Scotland,525,SC,440667,1,9,2010,58.73,-5.37,131,29.4,233.2,6,M,6,SC,525_131,203
Scotland,525,SC,440667,1,9,2010,58.73,-5.37,133,29.8,255.0,6,F,6,SC,525_133,203
Scotland,525,SC,440667,1,9,2010,58.73,-5.37,139,31.9,335.0,12,M,6,SC,525_139,203
Scotland,525,SC,440667,1,9,2010,58.73,-5.37,142,27.0,187.9,5,M,6,SC,525_142,203
Scotland,525,SC,440667,1,9,2010,58.73,-5.37,143,29.9,229.9,6,F,6,SC,525_143,203
Scotland,525,SC,440667,1,9,2010,58.73,-5.37,144,31.5,289.3,7,F,6,SC,525_144,203
Scotland,525,SC,440667,1,9,2010,58.73,-5.37,146,28.0,206.7,6,M,6,SC,525_146,203
Scotland,525,SC,440667,1,9,2010,58.73,-5.37,147,28.2,202.9,6,F,6,SC,525_147,203
Scotland,525,SC,440667,1,9,2010,58.73,-5.37,148,28.8,232.3,5,M,6,SC,525_148,203
Scotland,525,SC,440667,1,9,2010,58.73,-5.37,150,27.5,211.3,5,M,6,SC,525_150,203
Scotland,525,SC,440667,1,9,2010,58.73,-5.37,151,27.4,187.5,4,F,6,SC,525_151,203
Scotland,525,SC,440667,1,9,2010,58.73,-5.37,160,28.2,206.6,7,M,6,SC,525_160,203
Scotland,525,SC,440667,1,9,2010,58.73,-5.37,164,28.0,188.1,5,F,6,SC,525_164,203
Scotland,525,SC,440667,1,9,2010,58.73,-5.37,167,27.4,200.5,3,F,6,SC,525_167,203
Scotland,525,SC,440667,1,9,2010,58.73,-5.37,169,32.1,273.6,10,F,6,SC,525_169,203
Scotland,525,SC,440667,1,9,2010,58.73,-5.37,170,28.8,248.5,10,M,6,SC,525_170,203
Scotland,525,SC,440667,1,9,2010,58.73,-5.37,171,32.2,276.4,10,F,6,SC,525_171,203
Scotland,525,SC,440667,1,9,2010,58.73,-5.37,174,27.9,195.5,5,F,6,SC,525_174,203
Scotland,525,SC,440667,1,9,2010,58.73,-5.37,176,28.3,229.7,7,M,6,SC,525_176,203
Scotland,525,SC,440667,1,9,2010,58.73,-5.37,177,30.4,298.8,10,F,6,SC,525_177,203
Scotland,525,SC,440667,1,9,2010,58.73,-5.37,179,33.6,335.8,7,F,6,SC,525_179,203
Scotland,525,SC,440667,1,9,2010,58.73,-5.37,180,28.5,229.8,6,M,6,SC,525_180,203
