country;station;pop;stockID;day;month;year;lat;lon;fishno;length_cm;weight_g;age;sex;maturity;folder;picname;cal
Iceland;408;IC;337812;8;7;2009;63.34;-18.89;7;32.0;346.4;6;M;5;IC;408_7;203
Iceland;408;IC;337812;8;7;2009;63.34;-18.89;12;33.0;331.0;7;M;5;IC;408_12;203
Iceland;408;IC;337812;8;7;2009;63.34;-18.89;13;33.0;363.8;7;F;6;IC;408_13;203
Iceland;408;IC;337812;8;7;2009;63.34;-18.89;15;32.0;371.0;8;F;5;IC;408_15;203
Iceland;408;IC;337812;8;7;2009;63.34;-18.89;28;34.0;371.0;7;M;5;IC;408_28;203
Iceland;408;IC;337812;8;7;2009;63.34;-18.89;40;34.0;286.6;7;M;7;IC;408_40;203
Iceland;408;IC;337812;8;7;2009;63.34;-18.89;44;34.0;407.8;7;M;5;IC;408_44;203
Iceland;408;IC;337812;8;7;2009;63.34;-18.89;63;35.0;409.2;8;M;5;IC;408_63;203
Iceland;408;IC;337812;8;7;2009;63.34;-18.89;77;34.0;337.8;6;F;6;IC;408_77;203
Iceland;408;IC;337812;8;7;2009;63.34;-18.89;81;33.0;381.6;8;F;6;IC;408_81;203
Iceland;408;IC;337812;8;7;2009;63.34;-18.89;84;34.0;421.8;6;M;5;IC;408_84;203
Iceland;408;IC;337812;8;7;2009;63.34;-18.89;86;33.0;287.2;6;F;6;IC;408_86;203
Iceland;408;IC;337812;8;7;2009;63.34;-18.89;89;34.0;348.8;8;F;6;IC;408_89;203
Iceland;408;IC;337812;8;7;2009;63.34;-18.89;94;34.0;354.4;7;M;5;IC;408_94;203
Iceland;411;IC;337815;9;7;2009;63.75;-16.45;1;34.0;397.0;6;F;5;IC;411_1;203
Iceland;411;IC;337815;9;7;2009;63.75;-16.45;4;33.0;380.6;6;F;5;IC;411_4;203
Iceland;411;IC;337815;9;7;2009;63.75;-16.45;5;34.0;383.4;8;M;5;IC;411_5;203
Iceland;411;IC;337815;9;7;2009;63.75;-16.45;6;33.0;351.2;7;F;5;IC;411_6;203
Iceland;411;IC;337815;9;7;2009;63.75;-16.45;8;34.0;421.6;8;M;5;IC;411_8;203
Iceland;411;IC;337815;9;7;2009;63.75;-16.45;11;33.0;351.4;6;F;5;IC;411_11;203
Iceland;411;IC;337815;9;7;2009;63.75;-16.45;12;32.0;355.6;6;F;5;IC;411_12;203
